Uvid,Manufacturer,Range,SubRange,Trim,Derivative,Series,RangeStartDate,RangeEndDate,BodyStyle,IsFacelift,Transmission,FuelType,Aspiration,EngineCapacity,PowerBhp,DriveType,GearCount,DoorCount,VehicleClass
A285,Audi,100,NULL,L5S,2.1,MK1,01/01/1977,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A286,Audi,100,NULL,L5S,2.1,MK1,01/01/1977,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A308,Audi,100,NULL,GL5E,2.1,MK1,01/06/1977,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A309,Audi,100,NULL,GL5E,2.1,MK1,01/06/1977,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A325,Audi,Avant,NULL,CD5E,2.1,NULL,01/09/1977,01/01/1980,Hatchback,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,5,Car
A393,Audi,Avant,NULL,L,1.6,NULL,01/11/1977,01/01/1979,Hatchback,0,Automatic,Petrol,Naturally Aspirated,1588,75,FWD,3,5,Car
A394,Audi,Avant,NULL,L,1.6,NULL,01/11/1977,01/01/1981,Hatchback,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,4,5,Car
A405,Audi,100,NULL,CD5E,2.1,MK1,01/01/1978,01/01/1980,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A404,Audi,100,NULL,CD5E,2.1,MK1,01/01/1978,01/01/1980,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A511,Audi,Avant,NULL,GL5S,2.1,NULL,01/09/1978,01/01/1980,Hatchback,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,5,Car
A512,Audi,Avant,NULL,GL5S,2.1,NULL,01/09/1978,01/01/1980,Hatchback,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,5,Car
A611,Audi,80,NULL,GLS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,85,FWD,3,4,Car
A613,Audi,80,NULL,GLS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,85,FWD,5,4,Car
A608,Audi,80,NULL,GLE,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,110,FWD,3,4,Car
A616,Audi,80,NULL,LS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,5,4,Car
A610,Audi,80,NULL,GLE,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,110,FWD,5,4,Car
A612,Audi,80,NULL,GLS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,85,FWD,4,4,Car
A614,Audi,80,NULL,LS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,75,FWD,3,4,Car
A615,Audi,80,NULL,LS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,4,4,Car
A609,Audi,80,NULL,GLE,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,110,FWD,4,4,Car
A698,Audi,Avant,NULL,L,2.0D,NULL,01/09/1979,01/01/1980,Hatchback,0,Manual,Diesel,Naturally Aspirated,1986,60,FWD,5,5,Car
A1063,Audi,quattro,NULL,NULL,2.1,NULL,01/11/1980,01/01/1987,Coupe,0,Manual,Petrol,Turbocharged,2144,200,4X4,5,2,Car
A1253,Audi,Coupe,NULL,GT,1.9,MK1,01/08/1981,01/01/1983,Coupe,0,Automatic,Petrol,Naturally Aspirated,1921,114,FWD,3,3,Car
A1251,Audi,80,NULL,GL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,85,FWD,3,4,Car
A1249,Audi,80,NULL,CL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,4,4,Car
A1252,Audi,80,NULL,GL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,85,FWD,5,4,Car
A1248,Audi,80,NULL,CL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,75,FWD,3,4,Car
A1250,Audi,80,NULL,CL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,5,4,Car
A1254,Audi,Coupe,NULL,GT,1.9,MK1,01/08/1981,01/01/1983,Coupe,0,Manual,Petrol,Naturally Aspirated,1921,114,FWD,5,3,Car
A1306,Audi,100,NULL,GL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A1308,Audi,80,NULL,CD,1.9,MK2,01/09/1981,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1921,114,FWD,3,4,Car
A1309,Audi,80,NULL,CD,1.9,MK2,01/09/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1921,114,FWD,5,4,Car
A1305,Audi,100,NULL,CL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A1304,Audi,100,NULL,CL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A1307,Audi,100,NULL,GL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A1391,Audi,Avant,NULL,GL,2.0D,NULL,01/12/1981,01/01/1982,Hatchback,0,Manual,Diesel,Naturally Aspirated,1986,60,FWD,5,5,Car
A1416,Audi,100,NULL,CS Ltd Edn,2.1,MK2,01/01/1982,01/01/1982,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A1417,Audi,100,NULL,CS Ltd Edn,2.1,MK2,01/01/1982,01/01/1982,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A1644,Audi,Coupe,NULL,GT Fi,2.1,MK1,01/07/1982,01/01/1984,Coupe,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,3,Car
A1643,Audi,Coupe,NULL,GT Fi,2,MK1,01/07/1982,01/01/1984,Coupe,0,Manual,Petrol,Naturally Aspirated,1994,130,FWD,5,3,Car
A1891,Audi,100,NULL,CD,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A1892,Audi,100,NULL,CD,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A1894,Audi,100,NULL,CS,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,100,FWD,5,4,Car
A1893,Audi,100,NULL,CS,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,100,FWD,3,4,Car
A1952,Audi,100,NULL,CC,1.9,MK2,01/01/1983,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1921,114,FWD,5,4,Car
A1951,Audi,100,NULL,CC,1.9,MK2,01/01/1983,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1921,114,FWD,3,4,Car
A2017,Audi,100,NULL,Turbo Diesel,2.0TD,MK2,01/02/1983,01/01/1988,Saloon,0,Manual,Diesel,Turbocharged,1986,87,FWD,5,4,Car
A2031,Audi,200,NULL,Turbo,2.1,NULL,01/03/1983,01/01/1988,Saloon,0,Automatic,Petrol,Turbocharged,2144,182,FWD,3,4,Car
A2032,Audi,200,NULL,Turbo,2.1,NULL,01/03/1983,01/01/1988,Saloon,0,Manual,Petrol,Turbocharged,2144,182,FWD,5,4,Car
A2254,Audi,Coupe,NULL,GTE,2,MK1,01/08/1983,01/01/1986,Coupe,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,3,Car
A2251,Audi,Coupe,NULL,GT,2,MK1,01/08/1983,01/01/1986,Coupe,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,3,Car
A2247,Audi,100,NULL,CD,2.1,MK2,01/08/1983,01/01/1984,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A2249,Audi,100 Avant,NULL,CC,1.8,NULL,01/08/1983,01/01/1986,Estate,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,5,Car
A2246,Audi,100,NULL,CD,2.1,MK2,01/08/1983,01/01/1984,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A2248,Audi,100 Avant,NULL,CC,1.8,NULL,01/08/1983,01/01/1986,Estate,0,Automatic,Petrol,Naturally Aspirated,1781,90,FWD,3,5,Car
A2250,Audi,80,NULL,Sport,1.8,MK2,01/08/1983,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,112,FWD,5,4,Car
A2252,Audi,Coupe,NULL,GT,2,MK1,01/08/1983,01/01/1986,Coupe,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,3,Car
A2253,Audi,Coupe,NULL,GTE,2,MK1,01/08/1983,01/01/1986,Coupe,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,3,Car
A2428,Audi,100,NULL,NULL,1.8,MK2,01/10/1983,01/01/1986,Saloon,0,Automatic,Petrol,Naturally Aspirated,1781,90,FWD,3,4,Car
A2443,Audi,80,NULL,quattro,2.1,MK2,01/10/1983,01/01/1985,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,4X4,5,4,Car
A2441,Audi,80,NULL,GL,1.8,MK2,01/10/1983,01/01/1986,Saloon,0,Automatic,Petrol,Naturally Aspirated,1781,90,FWD,3,4,Car
A2431,Audi,100 Avant,NULL,CD,2.1,NULL,01/10/1983,01/01/1985,Estate,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,5,Car
A2432,Audi,100 Avant,NULL,CD,2.1,NULL,01/10/1983,01/01/1985,Estate,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,5,Car
A2435,Audi,80,NULL,CD,2,MK2,01/10/1983,01/01/1984,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A2436,Audi,80,NULL,CD,2,MK2,01/10/1983,01/01/1984,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A2442,Audi,80,NULL,GL,1.8,MK2,01/10/1983,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,4,Car
A2433,Audi,100 Avant,NULL,Turbo Diesel,2.0TD,NULL,01/10/1983,01/01/1987,Estate,0,Automatic,Diesel,Turbocharged,1986,87,FWD,3,5,Car
A2438,Audi,80,NULL,CL,1.6,MK2,01/10/1983,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1595,75,FWD,4,4,Car
A2439,Audi,80,NULL,CL,1.6,MK2,01/10/1983,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1595,75,FWD,5,4,Car
A2430,Audi,100,NULL,Turbo Diesel,2.0TD,MK2,01/10/1983,01/01/1987,Saloon,0,Automatic,Diesel,Turbocharged,1986,87,FWD,3,4,Car
A2434,Audi,100 Avant,NULL,Turbo Diesel,2.0TD,NULL,01/10/1983,01/01/1988,Estate,0,Manual,Diesel,Turbocharged,1986,87,FWD,5,5,Car
A2429,Audi,100,NULL,NULL,1.8,MK2,01/10/1983,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,4,Car
A2437,Audi,80,NULL,CL,1.6,MK2,01/10/1983,01/01/1986,Saloon,0,Automatic,Petrol,Naturally Aspirated,1595,75,FWD,3,4,Car
A2440,Audi,80,NULL,CL,1.8,MK2,01/10/1983,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,4,Car
A2518,Audi,80,NULL,Turbo Diesel,1.6TD,MK2,01/01/1984,01/01/1986,Saloon,0,Manual,Diesel,Turbocharged,1588,69,FWD,5,4,Car
A2519,Audi,90,NULL,quattro,2.2,MK1,01/01/1984,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,136,4X4,5,4,Car
A2914,Audi,Coupe,NULL,quattro,2.2,MK1,01/07/1984,01/01/1987,Coupe,0,Manual,Petrol,Naturally Aspirated,2226,136,4X4,5,3,Car
A2913,Audi,100,NULL,quattro,2.2,MK2,01/07/1984,01/01/1988,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,138,4X4,5,4,Car
A2987,Audi,90,NULL,CD,2,MK1,01/10/1984,01/01/1985,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A2988,Audi,90,NULL,CD,2,MK1,01/10/1984,01/01/1985,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A2989,Audi,Coupe,NULL,NULL,1.8,MK1,01/10/1984,01/01/1986,Coupe,0,Automatic,Petrol,Naturally Aspirated,1781,90,FWD,3,3,Car
A2990,Audi,Coupe,NULL,NULL,1.8,MK1,01/10/1984,01/01/1986,Coupe,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,3,Car
A3124,Audi,200,NULL,E,2.2,NULL,01/11/1984,01/01/1985,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,136,FWD,5,4,Car
A3123,Audi,200,NULL,E,2.2,NULL,01/11/1984,01/01/1985,Saloon,0,Automatic,Petrol,Naturally Aspirated,2226,136,FWD,3,4,Car
A3156,Audi,100 Avant,NULL,quattro,2.2,NULL,01/01/1985,01/01/1989,Estate,0,Manual,Petrol,Naturally Aspirated,2226,138,4X4,5,5,Car
A3158,Audi,Coupe,NULL,quattro,2.1,MK1,01/01/1985,01/01/1987,Coupe,0,Manual,Petrol,Naturally Aspirated,2144,136,4X4,5,3,Car
A3155,Audi,100,NULL,CD,2.2,MK2,01/01/1985,01/01/1988,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,138,FWD,5,4,Car
A3157,Audi,200,NULL,Turbo quattro,2.1,NULL,01/01/1985,01/01/1987,Saloon,0,Manual,Petrol,Turbocharged,2144,182,4X4,5,4,Car
A3154,Audi,100,NULL,CD,2.2,MK2,01/01/1985,01/01/1988,Saloon,0,Automatic,Petrol,Naturally Aspirated,2226,138,FWD,3,4,Car
A3346,Audi,200 Avant,NULL,Turbo quattro,2.1,NULL,01/05/1985,01/01/1987,Estate,0,Manual,Petrol,Turbocharged,2144,182,4X4,5,5,Car
A3425,Audi,90,NULL,NULL,2,MK1,01/07/1985,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A3424,Audi,80,NULL,quattro,1.8,MK2,01/07/1985,01/01/1986,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,112,4X4,5,4,Car
A3469,Audi,90,NULL,NULL,2,MK1,01/08/1985,01/01/1986,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A3515,Audi,100,NULL,CC,2,MK2,01/09/1985,01/01/1988,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A3514,Audi,100,NULL,CC,2,MK2,01/09/1985,01/01/1988,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A3607,Audi,100 Avant,NULL,CD,2.2,NULL,01/10/1985,01/01/1988,Estate,0,Automatic,Petrol,Naturally Aspirated,2226,138,FWD,3,5,Car
A3608,Audi,100 Avant,NULL,CD,2.2,NULL,01/10/1985,01/01/1988,Estate,0,Manual,Petrol,Naturally Aspirated,2226,138,FWD,5,5,Car
A4249,Audi,Coupe,NULL,GTi,2.2,MK1,01/04/1986,01/01/1987,Coupe,0,Manual,Petrol,Naturally Aspirated,2226,136,FWD,5,3,Car
A4248,Audi,Coupe,NULL,GTi,2.2,MK1,01/04/1986,01/01/1987,Coupe,0,Automatic,Petrol,Naturally Aspirated,2226,136,FWD,3,3,Car
A4671,Audi,Coupe,NULL,GT Fi,1.8,MK1,01/10/1986,01/01/1988,Coupe,0,Manual,Petrol,Naturally Aspirated,1781,112,FWD,5,3,Car
A4670,Audi,80,NULL,S,1.8,MK3,01/10/1986,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,4,Car
A4666,Audi,100 Avant,NULL,CC,2,NULL,01/10/1986,01/01/1988,Estate,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,5,Car
A4668,Audi,80,NULL,E,1.8,MK3,01/10/1986,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,112,FWD,5,4,Car
A4667,Audi,100 Avant,NULL,CC,2,NULL,01/10/1986,01/01/1988,Estate,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,5,Car
A4669,Audi,80,NULL,S,1.8,MK3,01/10/1986,01/01/1989,Saloon,0,Automatic,Petrol,Naturally Aspirated,1781,90,FWD,3,4,Car
A4777,Audi,80,NULL,NULL,1.6,MK3,01/11/1986,01/01/1987,Saloon,0,Manual,Petrol,Naturally Aspirated,1595,75,FWD,5,4,Car
A4778,Audi,80,NULL,quattro,1.8,MK3,01/11/1986,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,112,4X4,5,4,Car
A4779,Audi,80,NULL,Turbo Diesel,1.6TD,MK3,01/11/1986,01/01/1987,Saloon,0,Manual,Diesel,Turbocharged,1588,80,FWD,5,4,Car
A5177,Audi,90,NULL,E,2.2,MK2,01/07/1987,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,136,FWD,5,4,Car
A5178,Audi,90,NULL,quattro,2.2,MK2,01/07/1987,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,136,4X4,5,4,Car
A5176,Audi,90,NULL,NULL,2,MK2,01/07/1987,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A5340,Audi,80,NULL,NULL,1.8,MK3,01/10/1987,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,75,FWD,5,4,Car
A5339,Audi,80,NULL,NULL,1.8,MK3,01/10/1987,01/01/1988,Saloon,0,Automatic,Petrol,Naturally Aspirated,1781,75,FWD,3,4,Car
A5444,Audi,quattro,NULL,NULL,2.2,NULL,01/12/1987,01/01/1989,Coupe,0,Manual,Petrol,Turbocharged,2226,200,4X4,5,2,Car
A5602,Audi,100,NULL,E,2.2,MK2,01/02/1988,01/01/1989,Saloon,0,Automatic,Petrol,Naturally Aspirated,2226,138,FWD,3,4,Car
A5603,Audi,100,NULL,E,2.2,MK2,01/02/1988,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,138,FWD,5,4,Car
A5606,Audi,100 Avant,NULL,E,2,NULL,01/02/1988,01/01/1989,Estate,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,5,Car
A5607,Audi,100 Avant,NULL,E,2.2,NULL,01/02/1988,01/01/1989,Estate,0,Automatic,Petrol,Naturally Aspirated,2226,138,FWD,3,5,Car
A5600,Audi,100,NULL,E,2,MK2,01/02/1988,01/01/1989,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A5605,Audi,100 Avant,NULL,E,2,NULL,01/02/1988,01/01/1989,Estate,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,5,Car
A5599,Audi,100,NULL,NULL,2,MK2,01/02/1988,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A5601,Audi,100,NULL,E,2,MK2,01/02/1988,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A5604,Audi,100 Avant,NULL,NULL,2,NULL,01/02/1988,01/01/1989,Estate,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,5,Car
A5608,Audi,100 Avant,NULL,E,2.2,NULL,01/02/1988,01/01/1989,Estate,0,Manual,Petrol,Naturally Aspirated,2226,138,FWD,5,5,Car
A5598,Audi,100,NULL,NULL,2,MK2,01/02/1988,01/01/1989,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A5863,Audi,100,NULL,Turbo Diesel,2.0TD,MK2,01/07/1988,01/01/1991,Saloon,0,Manual,Diesel,Turbocharged,1986,100,FWD,5,4,Car
A5894,Audi,100 Avant,NULL,Turbo Diesel,2.0TD,NULL,01/08/1988,01/01/1991,Estate,0,Manual,Diesel,Turbocharged,1986,100,FWD,5,5,Car
A5893,Audi,100,NULL,quattro,2.2,MK2,01/08/1988,01/01/1989,Saloon,0,Manual,Petrol,Naturally Aspirated,2226,138,4X4,5,4,Car
A5951,Audi,100 Avant,NULL,NULL,2,NULL,01/09/1988,01/01/1989,Estate,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,5,Car
A5953,Audi,200,NULL,Turbo,2.2,NULL,01/09/1988,01/01/1989,Saloon,0,Manual,Petrol,Turbocharged,2226,190,FWD,5,4,Car
A5955,Audi,200,NULL,Turbo quattro,2.2,NULL,01/09/1988,01/01/1989,Saloon,0,Manual,Petrol,Turbocharged,2226,190,4X4,5,4,Car
A5952,Audi,200,NULL,Turbo,2.2,NULL,01/09/1988,01/01/1989,Saloon,0,Automatic,Petrol,Turbocharged,2226,190,FWD,3,4,Car
A5954,Audi,200,NULL,Turbo quattro,2.2,NULL,01/09/1988,01/01/1989,Estate,0,Manual,Petrol,Turbocharged,2226,190,4X4,5,5,Car
A6075,Audi,Coupe,NULL,E,2.2,MK2,01/10/1988,01/01/1989,Coupe,0,Manual,Petrol,Naturally Aspirated,2226,138,FWD,5,3,Car
A6076,Audi,Coupe,NULL,quattro,2.2,MK2,01/10/1988,01/01/1989,Coupe,0,Manual,Petrol,Naturally Aspirated,2226,136,4X4,5,3,Car
A6302,Audi,80,NULL,Turbo Diesel,1.6TD,MK3,01/12/1988,01/01/1991,Saloon,0,Manual,Diesel,Turbocharged,1588,80,FWD,5,4,Car
A6329,Audi,Coupe,NULL,quattro,2.3,MK2,01/01/1989,01/01/1991,Coupe,0,Manual,Petrol,Naturally Aspirated,2309,136,4X4,5,3,Car
A7041,Audi,100,NULL,quattro,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,136,4X4,5,4,Car
A7048,Audi,100,NULL,Turbo,2.2,MK2,01/09/1989,01/01/1991,Saloon,0,Automatic,Petrol,Turbocharged,2226,165,FWD,3,4,Car
A7068,Audi,90,NULL,quattro,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,136,4X4,5,4,Car
A7044,Audi,100,NULL,SE,2,MK2,01/09/1989,01/01/1991,Saloon,0,Automatic,Petrol,Naturally Aspirated,1994,115,FWD,3,4,Car
A7051,Audi,100 Avant,NULL,E,2.3,NULL,01/09/1989,01/01/1991,Estate,0,Automatic,Petrol,Naturally Aspirated,2309,136,FWD,3,5,Car
A7064,Audi,80,NULL,Sport,2,MK3,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,1984,113,FWD,5,4,Car
A7067,Audi,90,NULL,E,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,136,FWD,5,4,Car
A7070,Audi,90,NULL,Sport 20v,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,170,FWD,5,4,Car
A7072,Audi,Coupe,NULL,E,2,MK2,01/09/1989,01/01/1991,Coupe,0,Manual,Petrol,Naturally Aspirated,1984,113,FWD,5,3,Car
A7074,Audi,Coupe,NULL,E,2.3,MK2,01/09/1989,01/01/1992,Coupe,0,Manual,Petrol,Naturally Aspirated,2309,136,FWD,5,3,Car
A7076,Audi,quattro,NULL,NULL,2.2,NULL,01/09/1989,01/01/1991,Coupe,0,Manual,Petrol,Turbocharged,2226,220,4X4,5,2,Car
A7058,Audi,100 Avant,NULL,Turbo quattro,2.2,NULL,01/09/1989,01/01/1991,Estate,0,Manual,Petrol,Turbocharged,2226,165,4X4,5,5,Car
A7062,Audi,80,NULL,E,2,MK3,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,1984,113,FWD,5,4,Car
A7065,Audi,90,NULL,20v,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,170,FWD,5,4,Car
A7050,Audi,100,NULL,Turbo quattro,2.2,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Turbocharged,2226,165,4X4,5,4,Car
A7053,Audi,100 Avant,NULL,quattro,2.3,NULL,01/09/1989,01/01/1991,Estate,0,Manual,Petrol,Naturally Aspirated,2309,136,4X4,5,5,Car
A7057,Audi,100 Avant,NULL,Turbo,2.2,NULL,01/09/1989,01/01/1991,Estate,0,Manual,Petrol,Turbocharged,2226,165,FWD,5,5,Car
A7066,Audi,90,NULL,E,2.3,MK2,01/09/1989,01/01/1990,Saloon,0,Automatic,Petrol,Naturally Aspirated,2309,136,FWD,3,4,Car
A7069,Audi,90,NULL,quattro 20v,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,170,4X4,5,4,Car
A7073,Audi,Coupe,NULL,E,2.3,MK2,01/09/1989,01/01/1992,Coupe,0,Automatic,Petrol,Naturally Aspirated,2309,136,FWD,4,3,Car
A7038,Audi,100,NULL,E,2,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,1994,115,FWD,5,4,Car
A7052,Audi,100 Avant,NULL,E,2.3,NULL,01/09/1989,01/01/1991,Estate,0,Manual,Petrol,Naturally Aspirated,2309,136,FWD,5,5,Car
A7059,Audi,80,NULL,NULL,1.8,MK3,01/09/1989,01/01/1991,Saloon,0,Automatic,Petrol,Naturally Aspirated,1781,90,FWD,3,4,Car
A7061,Audi,80,NULL,E,2,MK3,01/09/1989,01/01/1991,Saloon,0,Automatic,Petrol,Naturally Aspirated,1984,113,FWD,3,4,Car
A7071,Audi,Coupe,NULL,20v,2.3,MK2,01/09/1989,01/01/1991,Coupe,0,Manual,Petrol,Naturally Aspirated,2309,170,FWD,5,3,Car
A7075,Audi,Coupe,NULL,quattro 20v,2.3,MK2,01/09/1989,01/01/1991,Coupe,0,Manual,Petrol,Naturally Aspirated,2309,170,4X4,5,3,Car
A7039,Audi,100,NULL,E,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Automatic,Petrol,Naturally Aspirated,2309,136,FWD,3,4,Car
A7040,Audi,100,NULL,E,2.3,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,2309,136,FWD,5,4,Car
A7049,Audi,100,NULL,Turbo,2.2,MK2,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Turbocharged,2226,165,FWD,5,4,Car
A7056,Audi,100 Avant,NULL,Turbo,2.2,NULL,01/09/1989,01/01/1991,Estate,0,Automatic,Petrol,Turbocharged,2226,165,FWD,3,5,Car
A7060,Audi,80,NULL,NULL,1.8,MK3,01/09/1989,01/01/1991,Saloon,0,Manual,Petrol,Naturally Aspirated,1781,90,FWD,5,4,Car
